paper,chunk_id,text,characters
paper1,0,"Contents lists available at ScienceDirect
Artificial Intelligence In Medicine
journal homepage: www.elsevier.com/locate/artmed
 
Electrohysterography in modern obstetrics: Advances in signal processing, 
machine learning, and clinical applications
Katerina Barnova a,b
, Radek Martinek a
, Jitka Horakova c, Ondrej Simetka c
, 
Radana Vilimkova Kahankova a
,∗
a VSB – Technical University of Ostrava, Department of Cybernetics and Biomedical Engineering, 17. listopadu 2172/15, Ostrava, 70800, Czechia
b Hospital AGEL Trinec-Podlesi, Telemedicine Center, Konska 453, Trinec, 739 61, Czechia
c University Hospital Ostrava, Department of Obstetrics and Gynecology, 17. listopadu 1790/5, Ostrava, 708 00, Czechia
A R T I C L E  I N F O
Keywords:
Uterine electromyography
Uterine activity monitoring
EHG signal processing
Uterine contractions detection
Term/preterm birth prediction
Pregnancy/labor classification
 
A B S T R A C T",927
paper1,1,"Keywords:
Uterine electromyography
Uterine activity monitoring
EHG signal processing
Uterine contractions detection
Term/preterm birth prediction
Pregnancy/labor classification
 
A B S T R A C T
Electrohysterography (EHG) represents a promising computational approach for non-invasive monitoring of 
uterine activity during pregnancy and labor. This review summarizes the advancements in signal processing 
techniques and machine learning algorithms that have been applied to enhance the utility of EHG. Key topics 
include the extraction and analysis of uterine electrical signals, classification of contractions, and prediction 
of obstetric outcomes such as preterm and labor/non-labor states. The review emphasizes computational 
methodologies for signal processing and extraction, including empirical mode decomposition or wavelet 
transform, and for data classification, such as neural networks or support vector machine, highlighting their",946
paper1,2,"transform, and for data classification, such as neural networks or support vector machine, highlighting their 
performance and limitations. Despite significant progress, challenges persist, such as the lack of standardized 
protocols, limited datasets, and inconsistent evaluation and annotation metrics, which hinder broader clinical 
adoption. The integration of additional clinical markers, simultaneous monitoring of maternal and fetal health, 
and the development of wearable systems for telemedicine present exciting opportunities for future research.
Contents
1. 
Introduction ......................................................................................................................................................................................................
2
2. 
EHG signal characteristics ..................................................................................................................................................................................
3",996
paper1,3,"3
2.1. 
Uterine contraction classification .............................................................................................................................................................
4
2.2. 
Noise definition......................................................................................................................................................................................
5
3. 
Acquisition of EHG signals .................................................................................................................................................................................
6
3.1. 
Electrodes placement ..............................................................................................................................................................................
6
3.1.1.",831
paper1,4,"6
3.1.1. 
Sensing electrodes ....................................................................................................................................................................
6
3.1.2. 
Reference and ground electrodes ...............................................................................................................................................
6
3.2. 
Available measurement systems...............................................................................................................................................................
6
3.2.1. 
Commercial devices..................................................................................................................................................................
6
3.2.2. 
Research prototypes .................................................................................................................................................................
6
3.3.",966
paper1,5,"6
3.2.2. 
Research prototypes .................................................................................................................................................................
6
3.3. 
Available datasets...................................................................................................................................................................................
7
3.3.1. 
Icelandic 16-electrode electrohysterogram database (Icelandic) ....................................................................................................
7
3.3.2. 
Term–preterm electrohysterogram database (TPEHG) ..................................................................................................................
7
3.3.3. 
Term–preterm electrohysterogram dataset with tocogram (TPEHGT).............................................................................................
7
3.3.4.",920
paper1,6,"7
3.3.3. 
Term–preterm electrohysterogram dataset with tocogram (TPEHGT).............................................................................................
7
3.3.4. 
Induced cesarean EHG dataset (ICEHG)......................................................................................................................................
8
4. 
EHG signal processing and analysis .....................................................................................................................................................................
8
4.1. 
Evaluation metrics..................................................................................................................................................................................
8
4.2. 
Preprocessing......................................................................................................................................................................................... 10
4.3.",973
paper1,7,"4.3. 
Extraction methods................................................................................................................................................................................. 10
4.3.1. 
Wavelet transform for signal extraction...................................................................................................................................... 10
∗Corresponding author.
E-mail addresses: katerina.barnova@vsb.cz (K. Barnova), radek.martinek@vsb.cz (R. Martinek), jitka.horakova@fno.cz (J. Horakova), 
ondrej.simetka@fno.cz (O. Simetka), radana.vilimkova.kahankova@vsb.cz (R. Vilimkova Kahankova).
https://doi.org/10.1016/j.artmed.2025.103303
Received 5 May 2025; Received in revised form 9 October 2025; Accepted 10 November 2025
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
Available online 11 November 2025",860
paper1,8,"Received 5 May 2025; Received in revised form 9 October 2025; Accepted 10 November 2025
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
Available online 11 November 2025 
0933-3657/© 2025 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license ( http://creativecommons.org/licenses/by- 
nc-nd/4.0/ ). 
K. Barnova et al.
4.3.2. 
Empirical mode decomposition for signal extraction.................................................................................................................... 10
4.3.3. 
Quadratic discriminant analysis for signal extraction................................................................................................................... 11
4.4. 
Uterine contractions detection ................................................................................................................................................................. 11
4.4.1.",937
paper1,9,"4.4.1. 
Wavelet transform for contractions detection.............................................................................................................................. 11
4.4.2. 
Multilayer perceptron for contractions detection ......................................................................................................................... 11
4.4.3. 
Convolutional neural network for contractions detection ............................................................................................................. 12
4.4.4. 
Support vector machine for contractions detection ...................................................................................................................... 12
4.4.5. 
Decision trees for contractions detection .................................................................................................................................... 12
4.4.6.",913
paper1,10,"4.4.5. 
Decision trees for contractions detection .................................................................................................................................... 12
4.4.6. 
Hierarchical clustering for contractions detection........................................................................................................................ 12
4.5. 
Term/preterm birth prediction ................................................................................................................................................................ 13
4.5.1. 
Artificial neural network for preterm birth prediction ................................................................................................................. 13
4.5.2. 
Multilayer perceptron for preterm birth prediction...................................................................................................................... 13
4.5.3.",934
paper1,11,"4.5.2. 
Multilayer perceptron for preterm birth prediction...................................................................................................................... 13
4.5.3. 
Spiking neural network for preterm birth prediction ................................................................................................................... 13
4.5.4. 
Convolution neural network for preterm birth prediction............................................................................................................. 13
4.5.5. 
Temporal convolution network for preterm birth prediction......................................................................................................... 13
4.5.6. 
Radial basis function network for preterm birth prediction .......................................................................................................... 13
4.5.7.",892
paper1,12,"4.5.6. 
Radial basis function network for preterm birth prediction .......................................................................................................... 13
4.5.7. 
Recurrent neural network for preterm birth prediction ................................................................................................................ 14
4.5.8. 
Support vector machine for preterm birth prediction................................................................................................................... 14
4.5.9. 
Adaptive boosting for preterm birth prediction ........................................................................................................................... 16
4.5.10. 
Random forest for preterm birth prediction ................................................................................................................................ 16
4.5.11.",906
paper1,13,"4.5.10. 
Random forest for preterm birth prediction ................................................................................................................................ 16
4.5.11. 
Linear discriminant analysis for preterm birth prediction............................................................................................................. 16
4.5.12. 
Quadratic discriminant analysis for preterm birth prediction........................................................................................................ 16
4.5.13. 
Gaussian mixture model for preterm birth prediction .................................................................................................................. 16
4.6. 
Labor/non-labor records classification ...................................................................................................................................................... 16
4.6.1.",924
paper1,14,"4.6.1. 
Extreme learning machine for labor classification ....................................................................................................................... 16
4.6.2. 
Support vector machine for labor classification........................................................................................................................... 16
4.6.3. 
Random forest for labor classification ........................................................................................................................................ 17
4.6.4. 
Quadratic discriminant analysis for labor classification................................................................................................................ 17
4.6.5. 
Gaussian mixture model for labor classification .......................................................................................................................... 17
5.",914
paper1,15,"4.6.5. 
Gaussian mixture model for labor classification .......................................................................................................................... 17
5. 
Summary of evidence......................................................................................................................................................................................... 17
5.1. 
Algorithms’ performance ......................................................................................................................................................................... 17
5.2. 
Significant EHG features ......................................................................................................................................................................... 18
6.",803
paper1,16,"6. 
Discussion ......................................................................................................................................................................................................... 18
7. 
Future directions ............................................................................................................................................................................................... 21
8. 
Conclusion ........................................................................................................................................................................................................ 23
 
CRediT authorship contribution statement ........................................................................................................................................................... 23",857
paper1,17,"Declaration of competing interest........................................................................................................................................................................ 23
 
Acknowledgments .............................................................................................................................................................................................. 23
 
Data availability ................................................................................................................................................................................................ 23
 
References......................................................................................................................................................................................................... 23
1. Introduction
Effective uterine contractions are an essential part of physiological",935
paper1,18,"1. Introduction
Effective uterine contractions are an essential part of physiological 
labor, ensuring the safe arrival of the newborn. These rhythmic con-
tractions of the uterine muscles are crucial for cervical dilation and the 
subsequent expulsion of the fetus. During labor, contractions not only 
help move the baby down the birth canal but also ensure its correct 
positioning and facilitate its progress out of the mother’s body [1]. 
Without effective uterine contractions, the birth process cannot proceed 
naturally, often necessitating medical interventions such as a cesarean 
section [2].
The uterine contractions can be assessed using manual palpation. 
However, its accuracy heavily depends on the experience and sub-
jective judgment of the physician [3]. For this reason, the electronic 
measurement techniques are commonly used in clinical practice. The 
most widely used method is external tocography, which measures",937
paper1,19,"measurement techniques are commonly used in clinical practice. The 
most widely used method is external tocography, which measures 
pressure changes via a tocodynamometer (TOCO) secured to the preg-
nant woman’s abdomen with a fixation belt. While simple to use, 
non-invasive and passive, this method is significantly affected by ma-
ternal movements and high body mass index (BMI). Additionally, its 
accuracy relies on proper sensor placement and optimal belt tight-
ness, which can restrict the mother’s mobility and hinder continu-
ous monitoring [4]. Another available method involves invasive mea-
surement of intrauterine pressure using a pressure catheter (IUPC), 
which is inserted transvaginally during labor after rupture of the fetal 
membranes. This approach carries risks such as intrauterine infection, 
uterine perforation, or placental abruption [5].
The limitations of these conventional methods, coupled with ad-",932
paper1,20,"membranes. This approach carries risks such as intrauterine infection, 
uterine perforation, or placental abruption [5].
The limitations of these conventional methods, coupled with ad-
vancements in technology, have shifted scientific attention toward 
electrohysterography (EHG). This technique evaluates uterine muscle 
activity by detecting electrical signals generated during contractions. 
The first EHG recording, achieved by Bode in 1931 [6], used two 
electric needles placed on the abdominal surface connected to a gal-
vanometer. Later, in 1950, Steer and Hertsch [7] recorded uterine 
electrical activity using six channels linked to electrodes placed on 
the abdomen of a pregnant woman. Since then, research in EHG has 
significantly progressed, driven by modern technologies and advanced 
signal processing algorithms.
Today, high-quality EHG recordings can be obtained non-invasively 
from the 19th week of pregnancy using surface electrodes placed",963
paper1,21,"signal processing algorithms.
Today, high-quality EHG recordings can be obtained non-invasively 
from the 19th week of pregnancy using surface electrodes placed 
on the abdominal wall. This method provides detailed information 
about the frequency, intensity, duration, and coordination of uter-
ine contractions [8]. Compared to external TOCO, EHG is a motion-
resistant, BMI-independent approach suitable for continuous monitor-
ing [4,9]. A study [8] reported significantly higher sensitivity for 
detecting uterine contractions using EHG (86.0%–98.0%) compared 
to TOCO (46.0%–73.6%). Obstetricians also found EHG more inter-
pretable than TOCO traces. Furthermore, the use of surface electrodes 
is comfortable for pregnant women and does not restrict mobility. 
According to another study [9], 80.8% of women preferred EHG, 17.3% 
preferred IUPC, and only 1.9% were satisfied with external TOCO.
In addition to uterine activity, abdominally placed electrodes for",968
paper1,22,"preferred IUPC, and only 1.9% were satisfied with external TOCO.
In addition to uterine activity, abdominally placed electrodes for 
EHG can simultaneously record maternal and fetal heart activity using 
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
2 
K. Barnova et al.
the non-invasive fetal electrocardiography (NI-fECG) technique. Stud-
ies [10,11] have demonstrated that NI-fECG can extract both fetal 
(fECG) and maternal (mECG) signals from the mother’s abdominal sur-
face (these abdominally recorded signals are referred to as abdominal 
ECG (aECG)), enabling accurate fetal heart rate (fHR) and maternal 
heart rate (mHR) traces after signal processing.
A recent study [12] found that simultaneous NI-fECG and EHG 
monitoring was more accurate and reliable than conventional car-
diotocography (CTG), which combines TOCO with fHR measurement. 
These methods were less affected by maternal obesity, and 90% of 
women did not require a switch to conventional monitoring. Addition-",996
paper1,23,"diotocography (CTG), which combines TOCO with fHR measurement. 
These methods were less affected by maternal obesity, and 90% of 
women did not require a switch to conventional monitoring. Addition-
ally, simultaneous monitoring of fHR and uterine contractions has been 
shown to improve the detection of fetal distress [13].
Despite its potential, the EHG technique faces several challenges 
that hinder its widespread clinical adoption. Extracting a high-quality 
EHG signal is inherently difficult due to its low frequency (0.01 Hz–
5 Hz) and very low amplitude (50 μV–5 mV), which make it highly 
susceptible to artifacts such as maternal and fetal movements, respi-
ration, and electrical cardiac activity [14]. These issues are further 
compounded by the lack of standardization in key aspects of the 
method. There are no universally accepted guidelines for electrode 
placement, signal recording techniques, or definitions of frequency",943
paper1,24,"method. There are no universally accepted guidelines for electrode 
placement, signal recording techniques, or definitions of frequency 
ranges for EHG signals, with considerable variability reported in the 
literature [4]. Moreover, the characteristics of EHG signals evolve 
throughout pregnancy as uterine muscle tissue develops, leading to 
changes in both time and frequency domain properties [15].
To address these challenges, advanced signal processing methods 
are needed to filter noise and ensure reliable data extraction. Once 
these limitations are resolved, the EHG technique, especially when 
combined with NI-fECG, could become a new standard of antenatal 
care. It holds promise for continuous and non-invasive monitoring of 
uterine contractions and fetal heart activity, even enabling remote 
telemonitoring for e-health applications [14].
Several reviews have been published [8,16–22] that summarize the 
current knowledge in the field of EHG:",962
paper1,25,"telemonitoring for e-health applications [14].
Several reviews have been published [8,16–22] that summarize the 
current knowledge in the field of EHG:
• Devedeux et al. [21] focused on the analysis of uterine elec-
trical activity during different stages of pregnancy and labor, 
with particular emphasis on its frequency characteristics and 
propagation patterns within the myometrial tissue. Similarly, 
Vinken et al. [16] investigated frequency parameters of EHG sig-
nals for distinguishing premature contractions leading to preterm 
labor but did not extensively cover signal processing or classifi-
cation methods.
• Vlemminx et al. [8] and Huber et al. [20] summarized the clinical 
benefits of EHG compared to conventional techniques but did 
not provide a comprehensive analysis of algorithms, datasets, or 
evaluation metrics.
• Jossou et al. [17] examined electrode placement, number, and 
type but did not provide an in-depth analysis of EHG signal",961
paper1,26,"evaluation metrics.
• Jossou et al. [17] examined electrode placement, number, and 
type but did not provide an in-depth analysis of EHG signal 
characteristics, interference, datasets, or signal processing and 
classification algorithms.
• Casado et al. [18] and Xu et al. [19] focused on preterm la-
bor diagnosis. Casado et al. [18] explored temporal, spectral, 
nonlinear, and propagation analyses, including artificial intelli-
gence (AI) and machine learning (ML) classification but lacked 
broad summaries of datasets, evaluation metrics, and extraction 
methods. Xu et al. [19] reviewed datasets, feature extraction, 
segmentation, and classification but omitted detailed discussion 
of evaluation metrics, electrode deployment, public datasets, and 
signal extraction algorithms.
• Liu et al. [22] provided a comprehensive overview of wearable 
sensors and AI applications in pregnancy monitoring, covering 
modalities such as EHG, fHR, and maternal physical activity.",977
paper1,27,"• Liu et al. [22] provided a comprehensive overview of wearable 
sensors and AI applications in pregnancy monitoring, covering 
modalities such as EHG, fHR, and maternal physical activity. 
However, the review adopted a broad perspective, emphasizing 
hardware design, data transmission, and energy efficiency in 
telemonitoring systems, while lacking a detailed analysis focused 
on EHG-specific characteristics, signal processing pipelines, fea-
ture extraction techniques, and the comparative performance of 
classification algorithms.
Unlike previous reviews that addressed only specific aspects of 
EHG—such as physiology without a detailed analysis of algorithms [21], 
frequency-based indicators related to preterm birth [16], clinical com-
parisons with TOCO/IUPC without coverage of data or metrics [8,
20], electrode configurations without signal analysis [17], wearable 
sensors and telemonitoring systems [22], or narrowly focused AI/ML",948
paper1,28,"20], electrode configurations without signal analysis [17], wearable 
sensors and telemonitoring systems [22], or narrowly focused AI/ML 
approaches lacking a systematic overview of datasets, metrics, and 
feature extraction steps [18,19]—the present work integrates both 
clinical and technical perspectives and provides a comprehensive map-
ping of the field. Specifically, it covers the nature of EHG signals and 
noise sources, electrode layouts and commercial systems, available 
public datasets and their characteristics, evaluation standards, and 
the entire processing pipeline—from preprocessing and signal extrac-
tion through contraction detection to classification (term/preterm; la-
bor/non-labor)—with a particular emphasis on modern ML/AI method-
ologies. The present review covers the most recent literature from 2010 
to 2025 and, in parallel, identify and discuss research gaps from both 
technical (signal, feature extraction, modeling, metrics, data) and clini-",981
paper1,29,"to 2025 and, in parallel, identify and discuss research gaps from both 
technical (signal, feature extraction, modeling, metrics, data) and clini-
cal (feasibility, interpretation, workflow integration, multimodal signal 
fusion) perspectives, and offer concrete recommendations for future 
research directions. The scope of this review compared to previous 
works is summarized in Table 1.
Google Scholar, PubMed, and Scopus were used to identify rele-
vant sources for this review. The search employed combinations of 
key terms related to EHG: ‘‘Electrohysterography’’, ‘‘Uterine electromyo-
graphy’’, and ‘‘Uterine contractions’’, combined with signal processing 
and analysis terms: ‘‘Extraction’’, ‘‘Processing’’, ‘‘Analysis’’, ‘‘Detection’’, 
and ‘‘Classification’’ forming 15 unique queries. Low-quality conference 
papers and articles published before 2010 were excluded. A total of 46 
studies that tested advanced signal processing methods or AI/ML-based",965
paper1,30,"papers and articles published before 2010 were excluded. A total of 46 
studies that tested advanced signal processing methods or AI/ML-based 
algorithms met these criteria and form the foundation of this review.
The remainder of this paper is organized as follows: Section 2 
discusses the characteristics of EHG signals, focusing on different types 
of uterine contractions and common sources of interference. Section 3 
examines EHG signal recording, emphasizing the number and place-
ment of sensing electrodes, and provides a summary of publicly avail-
able EHG datasets and their parameters. Section 4 reviews advanced 
algorithms, including AI/ML-based approaches, for processing and an-
alyzing EHG signals. This section is divided into five thematic areas: 
EHG preprocessing, signal extraction, uterine contraction detection, 
term/preterm birth prediction, and labor/non-labor record classifi-
cation. Evaluation metrics used to assess extraction, detection, and",973
paper1,31,"term/preterm birth prediction, and labor/non-labor record classifi-
cation. Evaluation metrics used to assess extraction, detection, and 
classification quality are also discussed.  Section 5 summarizes the prin-
cipal findings of this review, while Section 6 discusses these findings 
in the context of existing research. Key directions for future investiga-
tion to further advance the field are presented in Section 7. Finally, 
Section 8 concludes the review and its contributions.
2. EHG signal characteristics
EHG signals arise from the electrical activity of the myometrial cells, 
which generate action potentials initiated by changes in cell membrane 
potential. The coordination of these impulses leads to uterine contrac-
tions. The transmission of electrical potentials across myometrial cell 
membranes is facilitated by hormone-dependent development of gap 
junctions, which form low-resistance electrical pathways within the 
myometrium [3].",956
